City,Datetime,AQI,PM2.5,PM10,O3,NO2,SO2,CO
Los Angeles,2024-08-07 08:55:39.249587,3,0.7799533799533797,0.6088154269972453,0.0,1.0,0.525111441307578,0.5899905627874231
Paris,2024-08-07 08:55:40.650631,1,0.02331002331002331,0.006569188387370217,0.5293512902230904,0.09008778658484615,0.0487369985141159,0.0
Tokyo,2024-08-07 08:55:42.217480,3,0.372027972027972,0.12396694214876036,0.06888043590007197,0.7896531151453166,1.0,0.2800005991881001
Antananarivo,2024-08-07 08:55:43.399284,2,0.0,0.0,0.6469620643569446,0.0,0.0,0.16500142307173782
Nairobi,2024-08-07 08:55:44.687218,3,1.0,1.0,1.0,0.038268132617403895,0.20624071322436852,1.0
Lima,2024-08-07 08:55:45.930618,1,0.04428904428904429,0.09451154905700362,0.3933381309756349,0.07986022330179833,0.25586924219910845,0.06499692916098689
